Gene,baseMean,log2_FoldChange,FC,lfcSE,stat,pvalue,padj,minus_log10_pvalue
A1bg,39.18123502,1.251612779,2.38107453,0.298636816,4.191086676,2.78E-05,0.001704683,4.555955204
A1cf,1183.059641,0.744592003,1.675500368,0.191676505,3.884628435,0.000102487,0.0045569,3.989331219
Aadac,3195.97486,0.687957993,1.611001673,0.156577981,4.393708421,1.11E-05,0.000817241,4.954677021
Aadat,1481.451788,0.603443083,1.51933824,0.181386754,3.326831033,0.000878396,0.023207482,3.056309651
Aaed1,432.1557374,0.421805488,1.339602978,0.192978937,2.185759208,0.028833227,0.234805874,1.540106749
Aamdc,165.2951185,0.332165967,1.258901988,0.191445088,1.735045648,0.08273272,0.418783119,1.082322697
Aass,11038.01834,1.034089918,2.047821431,0.154842678,6.67832624,2.42E-11,1.47E-08,10.61618463
Abat,5629.367176,0.574249462,1.488902685,0.140474075,4.087939092,4.35E-05,0.00237345,4.361510743
Abca5,206.840456,-0.386021419,0.765237024,0.207222349,-1.862836807,0.06248523,0.362607557,1.204222627
Abca6,3026.11033,0.517886373,1.431855964,0.156552075,3.308077355,0.000939389,0.024286638,3.02715453
Abca8a,521.1563855,0.53522223,1.449165364,0.194983059,2.744967863,0.006051682,0.085815212,2.218123901
Abca8b,423.0107059,0.347917326,1.272722,0.198100004,1.756271173,0.079042117,0.409025327,1.102141436
Abcb11,4695.528051,0.597932043,1.513545497,0.224048807,2.668757989,0.007613228,0.101305953,2.118431164
Abcb1b,35.30817508,-0.500193804,0.707011798,0.270631421,-1.84824734,0.06456657,0.369992347,1.189992284
Abcb4,7827.801745,0.531374708,1.445305735,0.16900582,3.144120765,0.001665867,0.0364009,2.778359675
Abcc10,253.945442,0.405476258,1.324526087,0.176133258,2.302099347,0.02132957,0.194313147,1.6710179
Abcc4,246.6710676,-0.756864522,0.59178108,0.229904553,-3.292081483,0.000994488,0.025080357,3.002400453
Abcc5,227.606922,-0.485421827,0.71428819,0.215783439,-2.249578698,0.024475702,0.212183718,1.611264843
Abcc6,1735.147274,0.336975126,1.263105484,0.19338385,1.742519487,0.081417585,0.416430171,1.089281784
Abcd3,9501.872841,0.576005592,1.490716165,0.148900257,3.868398901,0.000109552,0.004771322,3.960379689
Abcf3,522.391675,0.317400812,1.246083556,0.18322496,1.732301165,0.083219955,0.419747046,1.079772523
Abcg1,1078.547302,-0.674929709,0.626362736,0.156049532,-4.325099226,1.52E-05,0.001051667,4.818156412
Abcg3,74.95752762,-0.598937888,0.660239845,0.249038726,-2.404999,0.01617251,0.163893581,1.791222572
Abcg5,2853.368535,0.735948663,1.665492275,0.195565648,3.763179626,0.000167767,0.006690218,3.775293461
Abcg8,1897.652324,0.561279045,1.475576835,0.240304761,2.335696734,0.019507053,0.183434108,1.709808336
Abhd1,158.3904145,0.603311696,1.519199879,0.230360399,2.618990497,0.00881904,0.111205311,2.054578688
Abhd12,1227.114972,-0.43898292,0.737654461,0.168367945,-2.607283231,0.009126384,0.114178216,2.039701262
Abhd3,552.7051908,0.658183187,1.578094048,0.143508705,4.586364208,4.51E-06,0.000387088,5.345823458
Abhd5,388.5714162,-0.283328917,0.82169283,0.160610542,-1.764074216,0.077719485,0.405303778,1.109470086
Abhd6,732.3324055,0.550894681,1.464993924,0.180203471,3.057070315,0.002235118,0.04442733,2.650699544
Abi3bp,89.0358266,0.427893052,1.34526748,0.227847489,1.877980109,0.060383886,0.355751972,1.219078941
Ablim3,452.1895668,0.26002046,1.197495687,0.158676663,1.638681174,0.101279677,0.460712474,0.994477692
Abr,397.3646983,-0.456602104,0.728700505,0.181157409,-2.520471603,0.011719769,0.132702731,1.931080948
Abtb2,267.6877215,0.631996605,1.549708215,0.274242236,2.304519588,0.021193494,0.193455063,1.673797439
Acaa1a,4117.983899,0.340095895,1.265840731,0.132487677,2.567000217,0.010258255,0.12349584,1.988926509
Acaa1b,32111.21008,0.694998513,1.618882764,0.148748345,4.672310909,2.98E-06,0.000287265,5.525783736
Acaa2,10134.43123,0.279695164,1.213938356,0.148668169,1.881338596,0.059925874,0.354034295,1.222385623
Acacb,944.0079932,0.529737714,1.443666709,0.20648627,2.565486386,0.010303126,0.12391913,1.987030989
Acad10,459.1848771,0.392816186,1.312953831,0.180453469,2.176828115,0.029493395,0.23715514,1.530275233
Acad11,7768.329305,0.656222944,1.575951289,0.140043042,4.685866088,2.79E-06,0.000271564,5.554395797
Acad12,72.38762256,0.491669038,1.406070603,0.257368754,1.910368022,0.056085845,0.338428545,1.251146733
Acad8,769.6978381,0.457092142,1.372772104,0.181798449,2.514279661,0.011927581,0.134103841,1.923447625
Acadm,7243.26983,0.605773813,1.521794774,0.144540932,4.191019134,2.78E-05,0.001704683,4.555955204
