Gene,log2_FoldChange,minus_log10_pvalue
DOK6,0.51,7.730487056
TBX5,-2.129,7.247183569
SLC32A1,0.9003,7.11577123
IFITM1,-1.687,5.427128398
NUP93,0.3659,5.472370099
EMILIN2,1.534,5.525783736
TPX2,-0.9974,5.677780705
LAMA2,-1.425,5.621602099
CAV2,-1.052,5.493494968
TNN,-1.658,5.047207557
POU3F4,1.181,4.974694135
COL13A1,-1.647,4.8569852
IFITM3,-1.61,4.920818754
SHISA3,-1.477,4.882728704
LOC285954,1.05,4.835647144
VEPH1,1.137,4.655607726
ARHGAP29,-1.526,4.434152181
KIAA1755,-1.562,4.401209493
LAMC3,-1.563,4.367542708
ITM2A,-1.398,4.303643611
DTHD1,1.54,4.252588192
RBMS1,-0.9139,4.174573882
CEBPD,-1.202,4.104577454
DMBX1,-1.425,4.020907099
PAPLN,-1.253,4.005243055
ADM,-1.357,3.96297212
COL2A1,-1.187,3.846490011
HS3ST3A1,-1.004,3.857610534
DYSF,-1.03,3.846185136
PI16,1.495,3.887060024
CDC42EP5,-1.355,3.80106813
SLC12A8,-0.9425,3.798876103
ZNF391,-1.024,3.71828503
GALNTL2,1.075,3.638649976
C4orf45,1.288,3.606951534
KIF18B,-0.8849,3.593289541
KIF20A,-0.9505,3.526951195
PDE1B,1.053,3.474178048
BCAN,1.117,3.432033093
APLNR,-1.365,3.4225082
CILP,-1.11,3.445874418
TEC,-1.373,3.431680915
KLF5,-0.8177,3.38101108
ACSS2,-0.5578,3.373454341
RAPGEF2,0.3371,3.345534666
C1orf51,-0.6451,3.280917426
IGF2-AS1,-1.235,3.23395914
RPLP0P2,-1.096,3.244964066
COTL1,-0.7376,3.230179742
MYO1D,-0.8454,3.25735341
CIAO1,0.2695,3.282329497
POU3F3,0.6857,3.230622674
CFLAR,-0.9694,3.251967106
BHLHE40,-1.127,3.320118058
PLSCR4,-1.317,3.302945108
HECW1,0.5135,3.269783159
KCNQ3,1.147,3.316052869
TIMP1,-1.15,3.278436682
CAV1,-1.115,3.172501492
LTBP4,-0.8186,3.155460698
HDAC1,-0.4542,3.142486585
HSPG2,-1.218,3.098923284
CYR61,-1.102,3.093072653
MYOF,-1.194,3.130944381
COL4A1,-1.252,3.104246058
NMB,0.8677,3.103914915
ICAM1,-1.144,3.10818388
NOTCH3,-0.7585,3.123262703
MPPED2,0.5135,3.078625705
COL9A1,-0.9755,3.050366076
ACSF2,-1.142,3.024660115
KTN1,-0.3119,3.015382687
ITPR1,-1.118,2.991399828
PRPS2,-0.722,2.995678626
FAM180B,1.249,2.940815382
POU2F3,-1.273,2.953114809
COL5A2,-1.262,2.937418016
ZSWIM3,0.438,2.94195377
CADM2,0.643,2.957818405
ARHGEF17,-0.5462,2.915781313
SSC5D,-1.126,2.910448117
NRN1,0.8605,2.906228219
PLAT,-1.103,2.91150953
SFXN2,-0.8373,2.899629455
FMNL2,-0.2466,2.894149326
ADAMTS3,-0.6153,2.890084137
ADAMTS19,-1.199,2.870310108
SH3BP1,-0.9641,2.864231485
LEFTY2,-1.225,2.849550591
EHBP1,0.3191,2.849550591
UAP1L1,-1.113,2.837435593
RAB27A,-1.073,2.819300799
ZNF213,0.3028,2.794795636
TOMM34,-0.4213,2.796967113
PERP,-0.914,2.776763727
OSMR,-1.226,2.757210191
CDCA3,-0.7986,2.718739313
GPR179,0.8394,2.705093089
TMC6,-1.078,2.703993331
STXBP5L,0.6711,2.713094647
HSPA1L,0.8842,2.732593581
PLIN2,-0.604,2.729088361
GSN,-1.117,2.703993331
F8A1,0.9911,2.718966633
SLC27A6,-1.196,2.699404516
COL4A2,-1.013,2.65915945
WFDC1,-1.162,2.667763585
DSEL,0.6867,2.658763377
DOCK6,-0.8158,2.663140179
MAN2B1,-0.4688,2.677987561
NFKBIZ,-0.888,2.6712128
OCIAD2,0.7605,2.676129393
REST,-0.5478,2.683400698
ANXA5,-0.8639,2.682981899
TRIM13,0.3688,2.647046088
ANLN,-0.7229,2.637140697
AP1S3,-0.8107,2.628562683
LOC100859930,0.9008,2.630227711
STK17B,-0.887,2.623423043
BHLHB9,0.4738,2.612432221
IL1R1,-1.185,2.605548319
CSDA,-0.7633,2.547753425
POSTN,-1.176,2.567672208
HHIPL1,0.8127,2.56193255
APBA2,0.4314,2.56035157
CBLN1,1.066,2.557833914
ALPK2,-1.108,2.554551486
NFATC2,-1.108,2.564474149
CN5H6.4,0.7852,2.554084586
ABHD14B,-1.03,2.543785845
COL8A1,-1.171,2.546528766
HCG11,-0.8357,2.546070408
RUNX2,-0.88,2.579714115
EPB41L2,-0.9145,2.547906751
COL11A1,-1.145,2.537152964
PODN,-1.155,2.510744832
NET1,-1.015,2.507239611
IL13RA1,-1.106,2.503208684
RNF207,-0.7995,2.489589052
TRPM2,1.05,2.488651485
SDF2L1,-0.4649,2.481749349
SLCO2A1,-1.094,2.482408269
DACT2,-1.06,2.480172006
DCXR,-0.4101,2.476904162
BCAM,-0.8227,2.465593101
FAM46B,-1.002,2.459670525
FOXL1,-1.136,2.446238302
SMTN,-0.7131,2.440691989
SLC6A1,0.7104,2.441771578
YY2,-0.5988,2.442252258
DEPDC1,-0.755,2.431329022
HEPACAM2,1.116,2.428640607
WBP5,-0.8485,2.428407617
SPSB1,-1.05,2.411392195
KIF23,-0.7154,2.403073186
C1QL1,-1.072,2.408156589
CBLN2,1.072,2.405165644
LOC100505806,-1.069,2.407601154
POU3F1,0.7912,2.380593589
RGS8,0.9341,2.366531544
GAD2,0.7494,2.369267107
PKP2,-0.9689,2.364918564
KIAA0564,-0.4253,2.364214764
PIF1,-0.9292,2.348334396
OR1F1,0.8391,2.392330563
RRN3,0.3764,2.36552273
CORO1A,0.4844,2.387428046
CRISPLD2,-1.115,2.372429336
TOP2A,-0.7962,2.359916269
ANKRD12,0.3062,2.380802284
DHDH,-0.811,2.36081244
ZNF274,0.3354,2.385313658
DPP4,-1.127,2.395449967
TMEM169,0.7379,2.386369565
CMTM8,-0.7701,2.354872601
LAMP3,-0.9384,2.345342245
SYNJ2,-0.9266,2.346401618
DPY19L2P3,1.061,2.348721986
TSC22D4,-0.5131,2.353596274
AR,-0.5979,2.360513511
LOC339862,-1.109,2.339324212
CCDC152,0.9749,2.335264031
NQO2,-0.6663,2.326426204
CMTM5,1.096,2.31264943
SERPING1,-0.8202,2.303294219
TLCD2,-0.9392,2.292855812
ATXN7L3B,0.3532,2.289628736
APOE,-0.9273,2.285418791
GPC3,-1.073,2.281249265
IRF1,-0.8166,2.278189385
GNG2,0.3508,2.270187493
EPHX1,-0.5381,2.237021509
CLEC2D,-0.8191,2.243059764
PTPRB,-1.079,2.240105626
NFATC4,-0.93,2.244735109
LGALS3,-0.9472,2.235898624
OTX2,0.8839,2.240634378
UACA,-1.058,2.254769015
HAPLN3,-0.9001,2.240105626
MYO5B,-0.982,2.262727823
PVRL3,-0.4554,2.235300936
PRDM6,-1.068,2.245040412
PDLIM7,-0.7154,2.250031916
TSPYL4,0.3561,2.235749125
CHRM2,0.9253,2.254612879
PMEL,-1.007,2.222790742
GLIPR1,-1.05,2.221776373
NLRC5,-0.9957,2.223589411
FAM117A,-0.4496,2.226652458
FAM83D,-0.7423,2.22184875
C7,-1.072,2.22775166
SERPINF1,-1.026,2.210560315
PLEKHH2,-1.032,2.212256228
GYPC,-1.042,2.214527797
LAMB2,-0.5626,2.207888591
SYNPO2,-1.065,2.205372555
SLCO4C1,0.9821,2.202178689
TNFAIP6,-1.011,2.197363082
FKBP10,-0.7909,2.194431182
LAMC1,-0.9224,2.186018924
FAM150B,-1.066,2.188626103
TM4SF1,-1.051,2.184953824
PCK2,-0.9537,2.179929966
ZNF732,-0.949,2.179929966
SLC35D2,-0.8576,2.178748568
NOTCH2NL,-0.517,2.169989064
KRT19,-1.027,2.169796401
PCDHGB7,1.014,2.173083353
LOC100128787,0.9828,2.159956669
PLXDC2,-0.554,2.161780778
SLFN11,-1.06,2.165261481
NEDD4L,0.3903,2.160899217
SPATA2,0.3181,2.164246032
CDCP1,-1.047,2.151010794
USP53,-0.4552,2.151010794
TRAF5,-0.9501,2.132591443
PHYHIPL,0.4773,2.13483678
A2M,-1.048,2.14327111
C12orf34,0.596,2.13768969
LOC255480,-0.9411,2.145511775
LOC150622,0.9708,2.137510833
LOC100130451,0.9622,2.13418562
SNAI1,-1.023,2.139661993
BCL2L13,0.1979,2.139602095
DSP,-0.9805,2.142848497
CERS2,-0.484,2.122743867
SEMA6C,0.5278,2.129303542
LRRC8E,-0.8766,2.123032033
RRAS,-0.8278,2.125750177
MASP1,0.6165,2.122916743
RHBDF1,-0.6514,2.118615343
UBQLN2,0.2471,2.115374537
DOCK1,-0.7425,2.11266407
DSCAML1,0.6893,2.10662667
ZNF197,0.417,2.107905397
LRIG3,-0.9736,2.089695832
CUX2,0.6015,2.087406002
UGGT2,-0.5188,2.091193401
HSDL1,0.2664,2.087299792
RBPMS,-0.7992,2.092642392
CD164,-0.757,2.081969663
L1TD1,-1.033,2.079824478
PRDX6,-0.5123,2.07852162
FAM46C,-0.9537,2.076186279
ADAM33,-0.9939,2.068084683
TLK1,-0.2367,2.057495894
KCNK2,0.6097,2.055813539
POLR3A,0.2868,2.042775942
GANAB,-0.3036,2.043447408
CPOX,-0.3403,2.044649043
MICA,-0.859,2.045854011
POU3F2,0.4784,2.050902875
AUTS2,0.39,2.045468057
SYPL1,-0.4891,2.048808242
MSN,-0.3958,2.039434097
ZCCHC24,-0.9672,2.037678027
GSTO1,-0.4109,2.03550466
XDH,0.954,2.030118356
PABPC1L2B,0.8795,2.03109697
POGK,0.2803,2.011619435
EFEMP2,-0.9948,2.015247722
MYADM,-0.7661,2.012065735
ORC4,0.3291,2.017321807
