Uniprot,Gene,WD score,Root WD score,minus_log10_pvalue,log2_FoldChange
IQGA2_HUMAN,IQGAP2,2556.22,50.56,30.29118337,10.01127344
IQGA1_HUMAN,IQGAP1,1858.1,43.11,21.78084162,10.36436738
MRCKB_HUMAN,CDC42BPB,3923.81,62.64,19.26302111,9.60376394
DNMBP_HUMAN,DNMBP,384.33,19.6,18.48375184,8.490413786
BORG5_HUMAN,CDC42EP1,5094.02,71.37,18.09825304,7.857775082
PAK2_HUMAN,PAK2,2588.1,50.87,18.04850539,8.589983706
BORG4_HUMAN,CDC42EP4,9601.51,97.99,17.76829783,6.926841124
MY18A_HUMAN,MYO18A,1772.28,42.1,17.394077,7.126647505
KCTD3_HUMAN,KCTD3,10806.82,103.96,17.11171519,6.248822026
PAK4_HUMAN,PAK4,4826.71,69.47,15.5963093,7.688769035
BORG1_HUMAN,CDC42EP2,6293.46,79.33,13.10987665,5.388809648
WASL_HUMAN,WASL,9132.96,95.57,12.47727902,5.808626571
ACK1_HUMAN,TNK2,8886.71,94.27,11.91797046,5.125375808
ARHGC_HUMAN,ARHGEF12,872.23,29.53,11.01073757,9.877588956
BAIP2_HUMAN,BAIAP2,5961.42,77.21,10.43497058,5.840512786
ARH40_HUMAN,ARHGEF40,129.14,11.36,10.16455964,6.579662755
MRCKA_HUMAN,CDC42BPA,648.44,25.46,9.045286038,11.06044775
SEPT7_HUMAN,SEPTIN7,772.83,27.8,7.790537348,3.873245947
RHG31_HUMAN,ARHGAP31,1562.54,39.53,7.342706756,3.41053213
RHG32_HUMAN,ARHGAP32,658.85,25.67,7.254701613,7.678201843
PAR6G_HUMAN,PARD6G,197.35,14.05,6.790469397,2.979238126
CDC42_HUMAN,CDC42,5966.01,77.24,6.774918708,11.32971729
ARHGB_HUMAN,ARHGEF11,433.06,20.81,6.057297537,6.120967133
SHKB1_HUMAN,SHKBP1,656.2,25.62,5.162751773,2.892489979
DIAP3_HUMAN,DIAPH3,52.43,7.24,5.105310839,6.301164207
PKHG4_HUMAN,PLEKHG4,340.94,18.46,4.929457246,3.750177239
PARD3_HUMAN,PARD3,122.5,11.07,4.770313278,3.153763057
IQGA3_HUMAN,IQGAP3,9.68,3.11,4.25519593,2.464485348
ARHG6_HUMAN,ARHGEF6,7.37,2.71,4.071936766,2.387579876
MIRO1_HUMAN,RHOT1,85.63,9.25,3.193763817,3.399787435
SH3R1_HUMAN,SH3RF1,280.58,16.75,3.142855416,2.754551953
ARHG2_HUMAN,ARHGEF2,329.22,18.14,3.071968722,5.521978942
CABL1_HUMAN,CABLES1,4.37,2.09,2.873015937,2.313503385
BNIP3_HUMAN,BNIP3,24.36,4.94,2.862944327,3.573877694
DIAP2_HUMAN,DIAPH2,138.59,11.77,2.831154567,2.902426642
RAB13_HUMAN,RAB13,114.2,10.69,2.684064513,3.155248762
SEPT9_HUMAN,SEPTIN9,115.79,10.76,2.675409949,3.026526889
HSP76_HUMAN,HSPA6,0,0,2.428931504,-3.028082314
TAB2_HUMAN,TAB2,56.74,7.53,2.363159913,2.75754312
MYO9A_HUMAN,MYO9A,46.06,6.79,2.34308648,3.844635106
DOCK9_HUMAN,DOCK9,983.21,31.36,2.186723888,4.200207044
ROA2_HUMAN,HNRNPA2B1,4.15,2.04,2.051963586,1.962817618
DJC16_HUMAN,DNAJC16,3.13,1.77,1.818417469,1.520250836
RL36A_HUMAN,RPL36A,8.45,2.91,1.788075216,1.333127076
SHIP2_HUMAN,INPPL1,314.08,17.72,1.735104593,1.341200091
SFSWA_HUMAN,SFSWAP,4.03,2.01,1.701095402,2.293225858
MYO6_HUMAN,MYO6,17.77,4.22,1.620235133,2.835447443
RS30_HUMAN,FAU,4.78,2.19,1.563939748,1.528671517
TPD54_HUMAN,TPD52L2,0,0,1.53272472,1.781237788
DOC11_HUMAN,DOCK11,1949.6,44.15,1.454018544,3.550940879
HAP28_HUMAN,PDAP1,0,0,1.410374948,1.611542828
ATS1_HUMAN,ADAMTS1,1.89,1.37,1.390106214,1.541185487
HACD3_HUMAN,HACD3,3.2,1.79,1.369903549,-1.197984168
AAMDC_HUMAN,AAMDC,2.27,1.51,1.343588256,2.242828429
NOL9_HUMAN,NOL9,4.01,2,1.331354166,1.596708298
YJ005_HUMAN,FLJ45252,7.77,2.79,1.309262215,1.770164754
,,,,,
L2GL1_HUMAN,LLGL1,112.61,10.61,1.276646056,1.579078242
DHX16_HUMAN,DHX16,3.73,1.93,1.227549301,1.598462831
F213A_HUMAN,FAM213A,0,0,1.225278585,-1.1543754
GRP78_HUMAN,HSPA5,12.11,3.48,1.208999201,2.733761649
MYCPP_HUMAN,DENND4A,0,0,1.19363395,1.391253933
DHX15_HUMAN,DHX15,8.74,2.96,1.184002437,2.416813736
LARP4_HUMAN,LARP4,9.75,3.12,1.163698404,2.376460069
AKAP9_HUMAN,AKAP9,0.79,0.89,1.148881345,-3.50433514
MAN1_HUMAN,LEMD3,6.55,2.56,1.145384836,2.579640526
MIGA1_HUMAN,MIGA1,3.8,1.95,1.126781,3.442868551
STIP1_HUMAN,STIP1,1.8,1.34,1.09571883,-2.968890532
TFR1_HUMAN,TFRC,10,3.16,1.093909854,2.208889188
SSRP1_HUMAN,SSRP1,10.58,3.25,1.078825743,1.513293728
UBAP2_HUMAN,UBAP2,4.56,2.14,1.077508605,2.468157462
AKAP1_HUMAN,AKAP1,12.25,3.5,1.067830064,1.186600139
RS27A_HUMAN,RPS27A,4.77,2.18,1.056822664,-0.681862249
CKAP4_HUMAN,CKAP4,3.41,1.85,1.048923701,-1.765239656
TTK_HUMAN,TTK,4.63,2.15,1.046916635,2.463469607
TRIM9_HUMAN,TRIM9,0,0,1.01758233,0.96250726
PKHG1_HUMAN,PLEKHG1,14.5,3.81,1.016471643,1.019670474
TCPA_HUMAN,TCP1,1.45,1.2,1.001748038,-2.596784688
NTPCR_HUMAN,NTPCR,1.7,1.3,1.001136467,-1.464585922
RPGF2_HUMAN,RAPGEF2,0,0,0.998701593,1.480405963
SH319_HUMAN,SH3D19,2.25,1.5,0.998163356,1.792215287
CEP85_HUMAN,CEP85,90.5,9.51,0.994954702,1.122903968
PPIA_HUMAN,PPIA,4.76,2.18,0.994303305,1.667001556
M3KL4_HUMAN,MAP3K21,4.47,2.12,0.990204944,0.838099102
IF4G2_HUMAN,EIF4G2,5.72,2.39,0.987691274,2.836918927
ABCD3_HUMAN,ABCD3,6.87,2.62,0.979332787,-0.940528822
DNM1L_HUMAN,DNM1L,7.75,2.78,0.96159096,1.396673922
DREB_HUMAN,DBN1,6.82,2.61,0.953149126,1.06676885
ANR17_HUMAN,ANKRD17,10.96,3.31,0.951218701,2.753565326
TMX1_HUMAN,TMX1,0,0,0.947774671,-2.541798418
SYIM_HUMAN,IARS2,2.04,1.43,0.926697608,-2.699691125
CBARP_HUMAN,CBARP,0,0,0.902426529,2.025026357
SFR19_HUMAN,SCAF1,8.62,2.94,0.901730362,1.954524466
UBIA1_HUMAN,UBIAD1,0,0,0.900516688,1.673161429
WDR41_HUMAN,WDR41,0.77,0.88,0.887297121,-2.187726711
RS23_HUMAN,RPS23,5.13,2.27,0.885189403,0.953558796
CNN2_HUMAN,CNN2,0,0,0.881070751,1.733686039
THIL_HUMAN,ACAT1,1.32,1.15,0.874914526,-1.927262576
BCR_HUMAN,BCR,16.04,4.01,0.87284887,2.478428379
MIRO2_HUMAN,RHOT2,4.33,2.08,0.870855552,2.219610886
TSR1_HUMAN,TSR1,2.61,1.62,0.869102549,1.027200495
PEAK1_HUMAN,PEAK1,3.23,1.8,0.863508406,1.039376817
PTN14_HUMAN,PTPN14,5.48,2.34,0.854124114,0.860076412
TSC1_HUMAN,TSC1,39.29,6.27,0.85336298,1.603462963
PHF8_HUMAN,PHF8,15.63,3.95,0.844047629,1.528308437
RAI14_HUMAN,RAI14,1.71,1.31,0.827061423,-2.293655671
DDX27_HUMAN,DDX27,6.55,2.56,0.822233976,2.181819736
H15_HUMAN,HIST1H1B,23.31,4.83,0.818760294,1.779085339
RFIP2_HUMAN,RAB11FIP2,1.03,1.01,0.811555556,-1.716040053
MAVS_HUMAN,MAVS,6.27,2.5,0.809945822,0.947227802
SEC62_HUMAN,SEC62,0,0,0.802361633,-2.609405182
CBPD_HUMAN,CPD,1.04,1.02,0.800930054,-2.065427804
